index,rotation_x,rotation_y,rotation_z,initial_rot_x,initial_rot_y,initial_rot_z,finished,path
163,-59.48717948717949,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
164,-59.48717948717949,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
165,-59.48717948717949,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
166,-59.48717948717949,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
167,-59.48717948717949,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
168,-59.48717948717949,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
169,-59.48717948717949,-14.358974358974361,14.358974358974361,0.0,0.0,0.0,False,
170,-55.38461538461539,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
171,-55.38461538461539,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
172,-55.38461538461539,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
173,-55.38461538461539,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
174,-55.38461538461539,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
175,-55.38461538461539,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
176,-51.28205128205128,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
177,-51.28205128205128,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
178,-51.28205128205128,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
179,-51.28205128205128,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
180,-51.28205128205128,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
181,-51.28205128205128,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
182,-47.17948717948718,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
183,-47.17948717948718,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
184,-47.17948717948718,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
185,-47.17948717948718,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
186,-43.07692307692308,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
187,-43.07692307692308,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
188,-43.07692307692308,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
189,-43.07692307692308,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
190,43.076923076923066,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
191,43.076923076923066,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
192,43.076923076923066,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
193,43.076923076923066,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
194,47.17948717948717,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
195,47.17948717948717,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
196,47.17948717948717,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
197,47.17948717948717,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
198,51.28205128205128,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
199,51.28205128205128,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
